bin	count
25219.9	0
25259	0
25298.1	0
25337.2	0
25376.3	0
25415.4	0
25454.5	0
25493.6	0
25532.7	0
25571.8	0
25610.9	0
25650	0
25689.2	0
25728.2	0
25767.4	0
25806.5	0
25845.6	0
25884.7	0
25923.8	0
25962.9	0
26002	0
26041.1	0
26080.2	0
26119.3	0
26158.4	0
26197.5	0
26236.6	0
26275.7	0
26314.8	0
26353.9	0
26393	0
26432.1	0
26471.2	0
26510.3	0
26549.4	0
26588.5	0
26627.6	0
26666.7	0
26705.8	0
26744.9	0
26784	0
26823.1	0
26862.2	0
26901.3	0
26940.4	0
26979.5	0
27018.6	0
27057.7	0
27096.8	0
27135.9	0
27175	0
27214.1	0
27253.2	0
27292.3	0
27331.4	0
27370.5	0
27409.6	0
27448.7	0
27487.8	0
27526.9	0
27566	0
27605.1	0
27644.2	0
27683.3	0
27722.4	0
27761.5	0
27800.6	0
27839.7	0
27878.8	0
27917.9	0
27957	0
27996.1	0
28035.2	0
28074.3	0
28113.4	0
28152.5	0
28191.6	0
28230.7	0
28269.8	0
28308.9	0
28348	0
28387.1	0
28426.2	0
28465.3	0
28504.4	0
28543.5	0
28582.6	0
28621.7	0
28660.8	0
28699.9	0
28739	0
28778.1	0
28817.2	0
28856.3	0
28895.4	0
28934.5	0
28973.6	0
29012.7	0
29051.8	0
29090.9	0
29130	0
29169.1	0
29208.2	0
29247.3	0
29286.4	0
29325.5	0
29364.6	0
29403.7	0
29442.8	0
29481.9	0
29521	0
29560.1	0
29599.2	0
29638.3	0
29677.4	0
29716.5	0
29755.6	0
29794.7	0
29833.8	0
29872.9	0
29912	0
29951.1	0
29990.2	0
30029.3	0
30068.4	0
30107.5	0
30146.6	0
30185.7	0
30224.8	0
30263.9	0
30303	0
30342.1	0
30381.2	0
30420.3	0
30459.4	0
30498.5	0
30537.6	0
30576.7	0
30615.8	0
30654.9	0
30694	0
30733.1	0
30772.2	0
30811.3	0
30850.4	0
30889.5	0
30928.6	0
30967.7	0
31006.8	0
31045.9	0
31085	0
31124.1	0
31163.2	0
31202.3	0
31241.4	0
31280.5	0
31319.6	0
31358.7	0
31397.8	0
31436.9	0
31476.1	0
31515.2	0
31554.3	0
31593.4	0
31632.5	0
31671.6	0
31710.7	0
31749.8	0
31788.9	0
31828	0
31867.1	0
31906.2	0
31945.3	0
31984.4	0
32023.5	0
32062.6	0
32101.7	0
32140.8	0
32179.9	0
32219	0
32258.1	0
32297.2	0
32336.3	0
32375.4	0
32414.5	0
32453.6	0
32492.7	0
32531.8	0
32570.9	0
32610	0
32649.1	0
32688.2	0
32727.3	0
32766.4	0
32805.5	0
32844.6	0
32883.7	0
32922.8	0
32961.9	0
33001	0
33040.1	0
33079.2	0
33118.3	0
33157.4	0
33196.5	0
33235.6	0
33274.7	0
33313.8	0
33352.9	0
33392	0
33431.1	0
33470.2	0
33509.3	0
33548.4	0
33587.5	0
33626.6	0
33665.7	0
33704.8	0
33743.9	0
33783	0
33822.1	0
33861.2	0
33900.3	0
33939.4	0
33978.5	0
34017.6	0
34056.7	0
34095.8	0
34134.9	0
34174	0
34213.1	0
34252.2	0
34291.3	0
34330.4	0
34369.5	0
34408.6	0
34447.7	0
34486.8	0
34525.9	0
34565	0
34604.1	0
34643.2	0
34682.3	0
34721.4	0
34760.5	0
34799.6	0
34838.7	0
34877.8	0
34916.9	0
34956	0
34995.1	0
35034.2	0
35073.3	0
35112.4	0
35151.5	0
35190.6	0
35229.7	0
35268.8	0
35307.9	0
35347	0
35386.1	0
35425.2	0
35464.3	0
35503.4	0
35542.5	0
35581.6	0
35620.7	0
35659.8	0
35698.9	0
35738	0
35777.1	0
35816.2	0
35855.3	0
35894.4	0
35933.5	0
35972.6	0
36011.7	0
36050.8	0
36089.9	0
36129	0
36168.1	0
36207.2	0
36246.3	0
36285.4	0
36324.5	0
36363.6	0
36402.7	0
36441.8	0
36480.9	0
36520	0
36559.1	0
36598.2	0
36637.3	0
36676.4	0
36715.5	0
36754.6	0
36793.7	0
36832.8	0
36871.9	0
36911	0
36950.1	0
36989.2	0
37028.3	0
37067.4	0
37106.6	0
37145.6	0
37184.8	0
37223.9	0
37263	0
37302.1	0
37341.2	0
37380.3	0
37419.4	0
37458.5	0
37497.6	0
37536.7	0
37575.8	0
37614.9	0
37654	0
37693.1	0
37732.2	0
37771.3	0
37810.4	0
37849.5	0
37888.6	0
37927.7	0
37966.8	0
38005.9	0
38045	0
38084.1	0
38123.2	0
38162.3	0
38201.4	0
38240.5	0
38279.6	0
38318.7	0
38357.8	0
38396.9	0
38436	0
38475.1	0
38514.2	0
38553.3	0
38592.4	0
38631.5	0
38670.6	0
38709.7	0
38748.8	0
38787.9	0
38827	0
38866.1	0
38905.2	0
38944.3	0
38983.4	0
39022.5	0
39061.6	0
39100.7	0
39139.8	0
39178.9	0
39218	0
39257.1	0
39296.2	0
39335.3	0
39374.4	0
39413.5	0
39452.6	0
39491.7	0
39530.8	0
39569.9	0
39609	0
